invoice_id,supplier_id,store_id,invoice_date,received_date,processed_date,invoice_amount,expected_amount,status,assigned_employee,processing_tat_days,discrepancy_amount,absolute_discrepancy,sla_breach
INV000001,SUP005,ST251,2014-01-05,2014-01-13,2014-01-17,12.15,12.15,Processed Late,EMP003,4,0.0,0.0,True
INV000002,SUP015,ST559,2014-01-05,2014-01-09,2014-01-12,1125.6,1125.6,Processed,EMP018,3,0.0,0.0,False
INV000003,SUP002,ST224,2014-01-05,2014-01-12,2014-01-13,1406.75,1424.55,Processed,EMP002,1,-17.8,17.8,False
INV000004,SUP012,ST559,2014-01-05,2014-01-09,2014-01-10,23.7,23.7,Processed,EMP016,1,0.0,0.0,False
INV000005,SUP013,ST007,2014-01-05,2014-01-13,2014-01-14,16.0,16.0,Processed,EMP012,1,0.0,0.0,False
INV000006,SUP003,ST221,2014-01-05,2014-01-11,2014-01-15,124.2,124.2,Processed Late,EMP012,4,0.0,0.0,True
INV000007,SUP006,ST353,2014-01-05,2014-01-09,2014-01-10,231.24,231.24,Processed,EMP001,1,0.0,0.0,False
INV000008,SUP009,ST128,2014-01-05,2014-01-09,2014-01-10,24.03,24.03,Processed,EMP003,1,0.0,0.0,False
INV000009,SUP011,ST371,2014-01-05,2014-01-11,2014-01-12,346.37,328.13,Processed,EMP026,1,18.24,18.24,False
INV000010,SUP004,ST297,2014-01-05,2014-01-13,2014-01-15,11.04,11.04,Processed,EMP010,2,0.0,0.0,False
INV000011,SUP007,ST285,2014-01-05,2014-01-08,2014-01-14,51.12,51.12,Processed Late,EMP021,6,0.0,0.0,True
INV000012,SUP006,ST215,2014-01-05,2014-01-10,2014-01-14,172.64,172.64,Processed Late,EMP016,4,0.0,0.0,True
INV000013,SUP003,ST547,2014-01-05,2014-01-13,2014-01-14,56.64,56.64,Processed,EMP008,1,0.0,0.0,False
INV000014,SUP015,ST571,2014-01-05,2014-01-09,2014-01-11,1918.72,1918.72,Processed,EMP023,2,0.0,0.0,False
INV000015,SUP013,ST058,2014-01-05,2014-01-13,2014-01-15,2190.0,2190.0,Processed,EMP003,2,0.0,0.0,False
INV000016,SUP007,ST275,2014-01-05,2014-01-09,2014-01-15,11.07,11.07,Processed Late,EMP017,6,0.0,0.0,True
INV000017,SUP006,ST218,2014-01-05,2014-01-13,2014-01-14,118.3,115.8,Processed,EMP007,1,2.5,2.5,False
INV000018,SUP003,ST253,2014-01-05,2014-01-09,2014-01-12,44.32,44.32,Processed,EMP001,3,0.0,0.0,False
INV000019,SUP007,ST598,2014-01-05,2014-01-13,2014-01-17,2071.3,2071.3,Processed Late,EMP013,4,0.0,0.0,True
INV000020,SUP003,ST522,2014-01-05,2014-01-09,2014-01-14,65.43,65.43,Processed Late,EMP014,5,0.0,0.0,True
INV000021,SUP003,ST164,2014-01-05,2014-01-10,2014-01-13,374.94,351.69,Processed,EMP014,3,23.25,23.25,False
INV000022,SUP010,ST480,2014-01-05,2014-01-10,2014-01-13,11.88,11.88,Processed,EMP006,3,0.0,0.0,False
INV000023,SUP001,ST118,2014-01-05,2014-01-11,2014-01-14,68.59,68.59,Processed,EMP027,3,0.0,0.0,False
INV000024,SUP006,ST115,2014-01-05,2014-01-12,2014-01-17,279.4,279.4,Processed Late,EMP017,5,0.0,0.0,True
INV000025,SUP012,ST270,2014-01-05,2014-01-12,2014-01-13,228.83,228.83,Processed,EMP011,1,0.0,0.0,False
INV000026,SUP002,ST306,2014-01-05,2014-01-12,2014-01-16,1054.34,1054.34,Processed Late,EMP020,4,0.0,0.0,True
INV000027,SUP013,ST166,2014-01-05,2014-01-09,2014-01-14,867.84,867.84,Processed Late,EMP027,5,0.0,0.0,True
INV000028,SUP010,ST332,2014-01-05,2014-01-12,2014-01-23,481.21,490.5,Pending / Delayed,EMP030,11,-9.29,9.29,True
INV000029,SUP015,ST315,2014-01-05,2014-01-10,2014-01-14,43.4,43.4,Processed Late,EMP010,4,0.0,0.0,True
