purchase_id,purchase_date,store_id,supplier_id,product_id,quantity,unit_cost,expected_delivery,actual_delivery,delivery_status,purchase_value
PUR000001,2014-01-05,ST251,SUP005,OFF-BI-10002432,5,2.43,2014-01-09,2014-01-09,On Time,12.15
PUR000002,2014-01-05,ST559,SUP015,OFF-ST-10000078,5,225.12,2014-01-08,2014-01-11,Late,1125.6
PUR000003,2014-01-05,ST224,SUP002,FUR-BO-10000112,15,94.97,2014-01-09,2014-01-12,Late,1424.55
PUR000004,2014-01-05,ST559,SUP012,OFF-AR-10002987,2,11.85,2014-01-11,2014-01-11,On Time,23.7
PUR000005,2014-01-05,ST007,SUP013,FUR-FU-10003274,16,1.0,2014-01-09,2014-01-13,Late,16.0
PUR000006,2014-01-05,ST221,SUP003,FUR-FU-10000246,15,8.28,2014-01-10,2014-01-09,Early,124.19999999999999
PUR000007,2014-01-05,ST353,SUP006,FUR-TA-10001520,4,57.81,2014-01-12,2014-01-13,Late,231.24
PUR000008,2014-01-05,ST128,SUP009,OFF-BI-10000279,3,8.01,2014-01-11,2014-01-10,Early,24.03
PUR000009,2014-01-05,ST371,SUP011,OFF-BI-10001765,19,17.27,2014-01-12,2014-01-12,On Time,328.13
PUR000010,2014-01-05,ST297,SUP004,OFF-FA-10003495,4,2.76,2014-01-08,2014-01-13,Late,11.04
PUR000011,2014-01-05,ST285,SUP007,OFF-BI-10002571,9,5.68,2014-01-11,2014-01-15,Late,51.12
PUR000012,2014-01-05,ST215,SUP006,OFF-PA-10003641,13,13.28,2014-01-10,2014-01-14,Late,172.64
PUR000013,2014-01-05,ST547,SUP003,FUR-TA-10003837,4,14.16,2014-01-09,2014-01-09,On Time,56.64
PUR000014,2014-01-05,ST571,SUP015,TEC-AC-10003832,16,119.92,2014-01-09,2014-01-13,Late,1918.72
PUR000015,2014-01-05,ST058,SUP013,FUR-CH-10000454,12,182.5,2014-01-09,2014-01-14,Late,2190.0
PUR000016,2014-01-05,ST275,SUP007,OFF-PA-10002986,3,3.69,2014-01-08,2014-01-08,On Time,11.07
PUR000017,2014-01-05,ST218,SUP006,OFF-LA-10002043,20,5.79,2014-01-11,2014-01-13,Late,115.8
PUR000018,2014-01-05,ST253,SUP003,FUR-FU-10002885,16,2.77,2014-01-12,2014-01-15,Late,44.32
PUR000019,2014-01-05,ST598,SUP007,FUR-TA-10002903,10,207.13,2014-01-11,2014-01-12,Late,2071.3
PUR000020,2014-01-05,ST522,SUP003,OFF-SU-10000381,9,7.27,2014-01-11,2014-01-10,Early,65.42999999999999
PUR000021,2014-01-05,ST164,SUP003,TEC-PH-10003012,3,117.23,2014-01-11,2014-01-14,Late,351.69
PUR000022,2014-01-05,ST480,SUP010,OFF-AR-10003504,4,2.97,2014-01-12,2014-01-13,Late,11.88
PUR000023,2014-01-05,ST118,SUP001,OFF-PA-10003848,19,3.61,2014-01-12,2014-01-17,Late,68.59
PUR000024,2014-01-05,ST115,SUP006,TEC-AC-10003657,10,27.94,2014-01-10,2014-01-12,Late,279.40000000000003
PUR000025,2014-01-05,ST270,SUP012,TEC-AC-10004901,7,32.69,2014-01-12,2014-01-17,Late,228.82999999999998
PUR000026,2014-01-05,ST306,SUP002,FUR-CH-10004997,7,150.62,2014-01-12,2014-01-15,Late,1054.3400000000001
PUR000027,2014-01-05,ST166,SUP013,FUR-CH-10001482,8,108.48,2014-01-12,2014-01-17,Late,867.84
PUR000028,2014-01-05,ST332,SUP010,FUR-FU-10004460,18,27.25,2014-01-11,2014-01-10,Early,490.5
PUR000029,2014-01-05,ST315,SUP015,FUR-FU-10000629,5,8.68,2014-01-09,2014-01-08,Early,43.4
PUR000030,2014-01-05,ST088,SUP002,OFF-BI-10002735,9,19.56,2014-01-11,2014-01-16,Late,176.04
PUR000031,2014-01-05,ST129,SUP009,TEC-PH-10002549,4,183.11,2014-01-09,2014-01-13,Late,732.44
PUR000032,2014-01-05,ST272,SUP003,OFF-FA-10002780,17,1.75,2014-01-12,2014-01-17,Late,29.75
PUR000033,2014-01-05,ST553,SUP015,OFF-PA-10003845,15,3.22,2014-01-09,2014-01-13,Late,48.300000000000004
PUR000034,2014-01-05,ST383,SUP011,OFF-AR-10003560,11,3.93,2014-01-11,2014-01-14,Late,43.230000000000004
PUR000035,2014-01-05,ST066,SUP004,OFF-PA-10003656,16,13.17,2014-01-10,2014-01-09,Early,210.72
PUR000036,2014-01-05,ST226,SUP010,TEC-AC-10001445,20,2.42,2014-01-08,2014-01-07,Early,48.4
PUR000037,2014-01-05,ST033,SUP015,FUR-BO-10004218,3,106.67,2014-01-10,2014-01-09,Early,320.01
PUR000038,2014-01-05,ST498,SUP011,OFF-ST-10001490,18,118.38,2014-01-09,2014-01-12,Late,2130.84
PUR000039,2014-01-05,ST585,SUP015,TEC-PH-10004345,6,87.72,2014-01-12,2014-01-14,Late,526.3199999999999
PUR000040,2014-01-05,ST417,SUP013,OFF-ST-10001418,9,63.16,2014-01-09,2014-01-08,Early,568.4399999999999
PUR000041,2014-01-05,ST434,SUP006,OFF-AR-10001547,5,1.66,2014-01-11,2014-01-13,Late,8.299999999999999
PUR000042,2014-01-05,ST101,SUP011,OFF-ST-10003805,3,163.39,2014-01-08,2014-01-10,Late,490.16999999999996
PUR000043,2014-01-05,ST255,SUP002,FUR-FU-10000771,12,3.86,2014-01-09,2014-01-09,On Time,46.32
PUR000044,2014-01-05,ST188,SUP007,OFF-BI-10003656,19,90.85,2014-01-10,2014-01-12,Late,1726.1499999999999
PUR000045,2014-01-05,ST454,SUP002,TEC-MA-10002930,9,32.92,2014-01-12,2014-01-11,Early,296.28000000000003
PUR000046,2014-01-05,ST016,SUP009,OFF-AR-10002221,3,1.96,2014-01-08,2014-01-13,Late,5.88
