store_id,store_name,city,state,postal_code,region,store_type,opening_date
ST001,Auburn South Store ST001,Auburn,Alabama,36830,South,Flagship,2013-01-01
ST002,Decatur South Store ST002,Decatur,Alabama,35601,South,Standard,2013-01-01
ST003,Florence South Store ST003,Florence,Alabama,35630,South,Standard,2013-01-01
ST004,Hoover South Store ST004,Hoover,Alabama,35244,South,Large,2013-01-01
ST005,Huntsville South Store ST005,Huntsville,Alabama,35810,South,Standard,2013-01-01
ST006,Mobile South Store ST006,Mobile,Alabama,36608,South,Standard,2013-01-01
ST007,Montgomery South Store ST007,Montgomery,Alabama,36116,South,Large,2013-01-01
ST008,Tuscaloosa South Store ST008,Tuscaloosa,Alabama,35401,South,Standard,2013-01-01
ST009,Avondale West Store ST009,Avondale,Arizona,85323,West,Standard,2013-01-01
ST010,Bullhead City West Store ST010,Bullhead City,Arizona,86442,West,Large,2013-01-01
ST011,Chandler West Store ST011,Chandler,Arizona,85224,West,Flagship,2013-01-01
ST012,Gilbert West Store ST012,Gilbert,Arizona,85234,West,Standard,2013-01-01
ST013,Glendale West Store ST013,Glendale,Arizona,85301,West,Large,2013-01-01
ST014,Mesa West Store ST014,Mesa,Arizona,85204,West,Standard,2013-01-01
ST015,Peoria West Store ST015,Peoria,Arizona,85345,West,Standard,2013-01-01
ST016,Phoenix West Store ST016,Phoenix,Arizona,85023,West,Large,2013-01-01
ST017,Scottsdale West Store ST017,Scottsdale,Arizona,85254,West,Standard,2013-01-01
ST018,Sierra Vista West Store ST018,Sierra Vista,Arizona,85635,West,Standard,2013-01-01
ST019,Tempe West Store ST019,Tempe,Arizona,85281,West,Large,2013-01-01
ST020,Tucson West Store ST020,Tucson,Arizona,85705,West,Standard,2013-01-01
ST021,Yuma West Store ST021,Yuma,Arizona,85364,West,Flagship,2013-01-01
ST022,Conway South Store ST022,Conway,Arkansas,72032,South,Large,2013-01-01
ST023,Fayetteville South Store ST023,Fayetteville,Arkansas,72701,South,Standard,2013-01-01
ST024,Hot Springs South Store ST024,Hot Springs,Arkansas,71901,South,Standard,2013-01-01
ST025,Jonesboro South Store ST025,Jonesboro,Arkansas,72401,South,Large,2013-01-01
ST026,Little Rock South Store ST026,Little Rock,Arkansas,72209,South,Standard,2013-01-01
ST027,Pine Bluff South Store ST027,Pine Bluff,Arkansas,71603,South,Standard,2013-01-01
ST028,Rogers South Store ST028,Rogers,Arkansas,72756,South,Large,2013-01-01
ST029,Springdale South Store ST029,Springdale,Arkansas,72762,South,Standard,2013-01-01
ST030,Texarkana South Store ST030,Texarkana,Arkansas,71854,South,Standard,2013-01-01
ST031,Anaheim West Store ST031,Anaheim,California,92804,West,Flagship,2013-01-01
ST032,Antioch West Store ST032,Antioch,California,94509,West,Standard,2013-01-01
ST033,Apple Valley West Store ST033,Apple Valley,California,92307,West,Standard,2013-01-01
ST034,Bakersfield West Store ST034,Bakersfield,California,93309,West,Large,2013-01-01
ST035,Brentwood West Store ST035,Brentwood,California,94513,West,Standard,2013-01-01
ST036,Burbank West Store ST036,Burbank,California,91505,West,Standard,2013-01-01
ST037,Camarillo West Store ST037,Camarillo,California,93010,West,Large,2013-01-01
ST038,Chico West Store ST038,Chico,California,95928,West,Standard,2013-01-01
ST039,Chula Vista West Store ST039,Chula Vista,California,91911,West,Standard,2013-01-01
ST040,Citrus Heights West Store ST040,Citrus Heights,California,95610,West,Large,2013-01-01
ST041,Coachella West Store ST041,Coachella,California,92236,West,Flagship,2013-01-01
ST042,Concord West Store ST042,Concord,California,94521,West,Standard,2013-01-01
ST043,Costa Mesa West Store ST043,Costa Mesa,California,92627,West,Large,2013-01-01
ST044,Danville West Store ST044,Danville,California,94526,West,Standard,2013-01-01
ST045,Davis West Store ST045,Davis,California,95616,West,Standard,2013-01-01
ST046,Dublin West Store ST046,Dublin,California,94568,West,Large,2013-01-01
ST047,El Cajon West Store ST047,El Cajon,California,92020,West,Standard,2013-01-01
ST048,Encinitas West Store ST048,Encinitas,California,92024,West,Standard,2013-01-01
ST049,Escondido West Store ST049,Escondido,California,92025,West,Large,2013-01-01
ST050,Fairfield West Store ST050,Fairfield,California,94533,West,Standard,2013-01-01
ST051,Fresno West Store ST051,Fresno,California,93727,West,Flagship,2013-01-01
ST052,Hesperia West Store ST052,Hesperia,California,92345,West,Large,2013-01-01
ST053,Huntington Beach West Store ST053,Huntington Beach,California,92646,West,Standard,2013-01-01
ST054,Inglewood West Store ST054,Inglewood,California,90301,West,Standard,2013-01-01
ST055,La Mesa West Store ST055,La Mesa,California,91941,West,Large,2013-01-01
ST056,La Quinta West Store ST056,La Quinta,California,92253,West,Standard,2013-01-01
